X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
NA,168,321,191,113,155,NA,158,55,113
NA,26,NA,59,113,155,NA,71,1,95
66,193,133,124,1,155,77,NA,NA,100
NA,NA,265,191,113,72,77,158,55,135
66,193,321,141,113,155,77,158,NA,135
66,193,321,191,113,155,77,48,55,135
66,193,178,191,113,155,77,158,NA,NA
66,191,265,191,113,155,77,158,NA,NA
NA,55,228,191,1,111,77,158,NA,135
1,193,265,35,1,155,NA,158,55,NA
66,NA,236,105,113,155,77,158,55,135
66,46,265,NA,113,25,77,158,55,135
66,NA,NA,191,113,155,77,158,55,135
NA,193,237,1,113,119,77,145,55,61
NA,193,89,29,113,155,77,158,55,135
66,14,321,27,113,155,77,73,55,90
NA,78,265,118,1,155,76,158,1,50
NA,148,261,191,113,155,60,158,55,135
66,75,NA,175,113,103,NA,158,NA,135
NA,193,NA,166,113,155,77,158,NA,135
66,190,229,11,113,155,77,158,55,88
NA,22,96,191,113,155,4,149,55,135
NA,193,142,191,113,155,77,158,NA,135
NA,193,82,191,113,155,77,158,NA,135
1,193,159,191,113,5,NA,158,55,107
1,NA,321,NA,113,155,77,158,NA,135
66,193,148,170,113,155,77,158,55,19
NA,193,321,191,113,155,77,29,55,135
66,182,78,191,113,155,77,158,55,98
66,84,NA,100,113,155,77,158,55,135
66,193,231,191,113,106,77,158,55,45
1,171,NA,191,1,155,77,16,NA,NA
66,193,321,74,113,155,77,158,NA,135
NA,193,18,NA,113,155,77,148,NA,135
NA,178,150,44,1,155,37,98,NA,NA
NA,37,265,111,113,56,64,158,NA,112
66,193,235,191,113,155,77,90,1,123
NA,79,32,164,113,11,65,147,55,62
66,118,154,191,113,48,74,158,55,135
NA,145,232,31,113,155,77,158,NA,2
66,193,321,191,113,155,77,158,55,NA
1,193,321,191,113,155,47,158,55,26
NA,130,NA,191,113,155,77,158,55,135
66,77,265,191,113,155,77,65,55,135
NA,131,NA,93,1,155,1,99,NA,NA
66,188,NA,191,1,18,18,83,1,NA
1,151,103,NA,1,155,77,158,NA,NA
NA,123,72,146,1,125,77,158,1,40
NA,42,NA,191,113,155,77,141,1,33
NA,146,4,191,113,122,48,14,55,NA
66,193,110,137,1,155,77,NA,NA,NA
NA,NA,257,28,113,155,77,11,1,41
66,193,321,37,1,155,77,107,NA,135
NA,150,NA,174,1,50,77,144,55,135
66,193,321,191,113,155,77,158,55,96
66,113,265,126,113,148,77,NA,55,135
66,193,NA,45,1,155,NA,NA,55,118
66,193,51,7,113,85,77,15,1,135
NA,NA,NA,117,113,52,8,158,55,NA
NA,193,132,127,113,118,77,26,55,NA
NA,120,216,191,113,155,77,81,55,135
1,193,57,86,1,155,77,158,55,135
66,74,171,191,113,155,77,128,NA,42
66,193,321,68,113,45,77,158,55,135
NA,193,137,125,113,155,77,132,55,135
66,193,321,191,113,155,77,158,55,115
66,92,165,191,113,155,77,158,NA,135
66,39,265,191,113,155,77,100,NA,NA
66,193,169,191,113,155,77,158,55,135
66,193,321,191,113,155,77,158,55,135
66,44,65,191,113,33,77,158,55,NA
NA,193,321,107,113,155,77,158,55,135
NA,193,321,191,113,155,77,158,55,135
66,193,5,53,113,29,77,8,NA,131
66,193,321,191,113,10,77,158,55,91
1,30,121,9,113,44,77,158,55,135
66,32,40,191,113,NA,77,155,NA,NA
1,18,153,114,113,155,77,158,55,135
66,193,321,191,113,155,77,158,55,135
66,193,NA,191,113,155,77,158,NA,135
66,193,256,191,113,155,77,43,55,NA
66,193,112,191,113,NA,24,156,NA,135
66,144,75,191,1,155,77,158,1,130
1,193,321,39,113,152,77,158,55,NA
1,152,238,112,113,155,77,158,55,135
66,193,189,191,113,155,77,2,55,NA
NA,193,147,NA,113,155,77,158,55,135
1,193,26,61,113,2,77,158,55,30
66,161,84,191,1,155,77,158,55,135
1,165,321,191,1,155,77,158,55,135
66,193,265,191,113,155,77,78,55,135
1,64,61,191,113,100,68,158,NA,135
66,142,66,191,113,155,77,NA,55,135
1,193,30,191,1,155,55,158,55,135
66,193,265,48,1,155,13,131,55,68
1,193,173,191,113,155,77,158,NA,106
66,193,265,55,113,66,77,23,55,135
NA,53,321,191,113,105,77,158,55,135
NA,193,321,153,113,78,77,158,55,35
NA,57,168,183,113,155,77,158,55,132
66,193,NA,191,113,NA,77,158,1,135
66,193,265,191,1,155,77,158,NA,135
NA,193,162,191,113,55,77,104,55,135
66,81,106,41,1,155,77,158,55,67
NA,193,321,191,113,155,77,158,55,135
NA,193,321,191,1,115,77,113,55,NA
66,193,265,191,113,155,77,158,55,NA
66,160,193,191,1,98,77,158,1,135
1,193,118,191,113,155,77,25,NA,1
66,193,265,187,113,155,77,158,55,NA
66,193,NA,191,1,155,62,63,55,133
66,193,265,191,113,155,77,152,55,135
NA,193,174,78,113,155,77,158,55,135
66,86,94,191,1,155,77,158,55,135
NA,102,NA,191,1,155,77,NA,55,NA
NA,193,151,191,1,155,77,158,NA,135
NA,16,321,191,113,155,77,158,NA,135
NA,172,NA,179,1,74,77,158,55,135
66,193,29,191,113,155,77,NA,55,135
66,193,136,NA,113,155,61,5,55,124
NA,193,187,177,113,155,77,158,NA,135
NA,193,190,191,113,155,77,158,NA,135
NA,193,265,40,113,114,77,9,1,135
66,193,163,189,113,155,77,158,1,NA
66,193,321,132,113,155,77,158,1,135
66,119,54,191,113,138,77,158,55,125
66,177,321,191,113,155,77,158,55,135
66,6,13,191,1,155,6,158,NA,135
NA,193,255,191,113,155,73,137,55,60
NA,193,NA,191,113,155,77,158,55,135
NA,NA,251,NA,113,155,NA,158,55,135
66,121,166,154,113,155,77,158,NA,135
1,NA,15,181,113,155,77,158,NA,135
66,193,NA,191,113,155,77,158,55,NA
NA,105,265,191,113,155,77,108,55,NA
66,193,88,103,113,143,77,158,55,135
NA,193,NA,8,1,80,77,3,55,64
1,193,265,62,113,155,77,NA,1,135
NA,193,321,191,113,155,77,158,NA,135
66,193,244,NA,113,139,77,158,55,135
NA,50,35,120,113,155,77,7,55,82
66,176,321,NA,113,132,77,158,55,135
1,193,222,101,113,155,77,158,55,135
NA,193,NA,NA,113,155,77,158,55,135
66,193,321,119,113,155,77,158,55,135
1,132,NA,6,1,155,7,40,55,NA
1,73,321,79,113,133,77,158,55,22
66,76,321,113,113,94,77,126,1,135
